Address,Date time,Temperatura mÃ­nima,Temperatura mÃ¡xima,Temperatura,Punto de rocÃ­o,Humedad relativa,Ãndice de calor,Velocidad del viento,RÃ¡faga de viento,DirecciÃ³n del viento,EscalofrÃ­os,PrecipitaciÃ³n,Cubierta de precipitaciÃ³n,Profundidad de la nieve,Visibilidad,Cubierto de nubes,PresiÃ³n a nivel del mar,Tipo de clima,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"-31.3170,-64.2170","06/01/2017",0.9,18.0,7.8,4.0,80.01,,11.4,,192.92,-2.0,0.0,0.0,0.0,5.4,1.9,1020.2,"Niebla, Niebla, Aumento de la cobertura del cielo, Humo o neblina",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Claro"
"-31.3170,-64.2170","06/02/2017",0.9,20.0,9.0,4.1,75.75,,18.3,,148.75,-1.5,0.0,0.0,0.0,6.3,5.8,1017.7,"Niebla, Niebla",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Claro"
"-31.3170,-64.2170","06/03/2017",4.1,20.0,10.7,5.5,74.52,,11.4,,177.0,2.8,0.0,0.0,0.0,6.2,20.8,1012.5,"Niebla, Niebla, Cielo sin cambios",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Claro"
"-31.3170,-64.2170","06/04/2017",5.0,18.0,10.8,5.5,72.13,,17.2,,219.58,2.8,0.0,0.0,0.0,6.2,33.3,1016.4,"Niebla",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Parcialmente nublado"
"-31.3170,-64.2170","06/05/2017",4.0,11.0,8.8,0.5,57.57,,9.2,,187.92,2.8,0.0,0.0,0.0,6.3,59.0,1021.0,"",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Parcialmente nublado"
"-31.3170,-64.2170","06/06/2017",1.0,18.0,8.0,3.2,75.01,,11.4,,197.27,-0.6,0.0,0.0,0.0,6.1,10.0,1018.9,"Niebla",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Claro"
"-31.3170,-64.2170","06/07/2017",2.0,17.0,8.7,5.3,81.25,,15.0,,227.92,0.9,0.0,0.0,0.0,6.2,28.3,1009.7,"",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Parcialmente nublado"
"-31.3170,-64.2170","06/08/2017",3.0,14.0,9.0,-0.6,55.3,,27.7,40.3,211.42,0.4,202.0,4.17,0.0,5.9,29.9,1017.0,"Niebla, DisminuciÃ³n de la cobertura del cielo, Cielo sin cambios, Humo o neblina",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Lluvia, Parcialmente nublado"
"-31.3170,-64.2170","06/09/2017",1.0,21.0,10.0,-1.6,47.73,,8.1,,252.5,-2.4,0.0,0.0,0.0,6.3,5.0,1022.1,"",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Claro"
"-31.3170,-64.2170","06/10/2017",6.0,27.0,14.9,2.8,48.36,26.1,10.3,,210.0,4.4,0.0,0.0,0.0,6.1,0.0,1014.3,"Humo o neblina",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Claro"
"-31.3170,-64.2170","06/11/2017",2.0,17.0,10.0,0.3,55.52,,24.2,30.0,202.5,-0.3,0.0,0.0,0.0,6.3,0.8,1016.3,"Humo o neblina",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Claro"
"-31.3170,-64.2170","06/12/2017",-0.9,18.0,7.2,-1.0,62.02,,15.0,6.9,192.08,-4.3,0.0,0.0,0.0,6.3,4.6,1018.6,"",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Claro"
"-31.3170,-64.2170","06/13/2017",0.0,22.0,10.3,4.8,72.79,,10.3,,152.27,-0.7,0.0,0.0,0.0,6.0,1.8,1017.2,"Niebla, Aumento de la cobertura del cielo, Humo o neblina",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Claro"
"-31.3170,-64.2170","06/14/2017",8.9,23.0,14.9,9.3,71.39,,20.8,,217.08,7.1,0.0,0.0,0.0,6.3,23.5,1016.5,"Niebla",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Claro"
"-31.3170,-64.2170","06/15/2017",9.9,28.0,18.2,12.4,72.15,27.6,21.9,,267.92,9.5,0.0,0.0,0.0,6.2,25.6,1008.3,"",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Parcialmente nublado"
"-31.3170,-64.2170","06/16/2017",12.9,22.0,17.8,15.2,85.41,,10.3,,205.42,,0.0,0.0,0.0,6.2,50.9,1001.3,"Niebla",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Parcialmente nublado"
"-31.3170,-64.2170","06/17/2017",9.0,23.0,16.0,7.2,61.36,,17.2,,210.48,6.9,0.0,0.0,0.0,6.0,15.9,1004.9,"Niebla, DisminuciÃ³n de la cobertura del cielo, Humo o neblina",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Claro"
"-31.3170,-64.2170","06/18/2017",-3.0,12.0,7.2,-6.9,39.63,,20.8,32.2,201.67,-6.1,0.0,0.0,0.0,6.3,17.9,1024.0,"",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Claro"
"-31.3170,-64.2170","06/19/2017",-5.0,13.0,2.5,-6.2,60.76,,9.2,,240.83,-9.1,0.0,0.0,0.0,6.3,5.4,1029.4,"",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Claro"
"-31.3170,-64.2170","06/20/2017",-6.0,13.1,2.2,-4.7,65.41,,16.1,,170.0,-9.7,0.0,0.0,0.0,7.3,32.7,1024.3,"",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Parcialmente nublado"
"-31.3170,-64.2170","06/21/2017",-1.9,21.3,8.9,0.4,60.35,,12.7,,221.25,-2.7,0.0,0.0,0.0,6.0,30.0,1015.2,"Niebla, Humo o neblina",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Parcialmente nublado"
"-31.3170,-64.2170","06/22/2017",6.0,25.9,17.2,9.7,63.23,,18.3,,225.56,5.1,0.0,0.0,0.0,6.3,20.6,1005.1,"Humo o neblina",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Claro"
"-31.3170,-64.2170","06/23/2017",6.0,22.0,13.8,10.1,79.75,,6.9,,207.27,7.3,0.0,0.0,0.0,5.7,18.5,1009.2,"Niebla, Aumento de la cobertura del cielo",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Claro"
"-31.3170,-64.2170","06/24/2017",9.9,23.0,15.5,11.9,80.71,,15.0,,122.17,,0.0,0.0,0.0,5.8,33.9,1012.6,"Niebla, Niebla, Humo o neblina",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Parcialmente nublado"
"-31.3170,-64.2170","06/25/2017",13.0,28.0,20.3,14.2,70.47,28.0,19.7,,104.55,,0.0,0.0,0.0,6.3,34.6,1007.7,"Niebla",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Parcialmente nublado"
"-31.3170,-64.2170","06/26/2017",14.0,24.0,19.6,15.1,75.79,,15.0,,45.22,,0.0,0.0,0.0,6.1,57.4,1006.8,"Lluvia, Lluvia ligera",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Parcialmente nublado"
"-31.3170,-64.2170","06/27/2017",10.0,14.6,12.3,10.1,87.18,,10.3,,186.11,7.7,11.5,16.67,0.0,5.7,58.2,1016.5,"Llovizna, Llovizna ligera, Lluvia, Fuerte llovizna / lluvia, Lluvia ligera, Aumento de la cobertura del cielo",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Lluvia, Parcialmente nublado"
"-31.3170,-64.2170","06/28/2017",5.7,13.0,9.3,7.2,87.42,,5.8,,108.33,4.4,0.1,4.17,0.0,5.3,45.3,1023.6,"Llovizna, Niebla, Llovizna ligera, DisminuciÃ³n de la cobertura del cielo, Aumento de la cobertura del cielo",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Lluvia, Parcialmente nublado"
"-31.3170,-64.2170","06/29/2017",2.0,18.0,8.0,5.7,87.58,,4.7,,211.74,1.6,0.0,0.0,0.0,4.1,20.3,1020.9,"Niebla, Niebla, Aumento de la cobertura del cielo",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Claro"
"-31.3170,-64.2170","06/30/2017",2.0,20.0,9.7,3.9,72.5,,8.1,,227.92,-0.3,0.0,0.0,0.0,6.0,0.0,1024.2,"Niebla",-31.317,-64.217,"-31.3170,-64.2170","-31.3170,-64.2170","","Claro"
